SENTENCE,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Introduction If anything kills over 10 million people in the next few decades it will be a highly infectious virus rather than a war,0,2,-0.99999950000025,0.08333332986111125,24,16.666666666666664,59.46666666666667,24,5,24,41,0,4.541666666666667
Not missiles but microbes,0,0,0.0,0.0,4,0.0,10.0,4,2,4,8,0,5.5
Bill Gatess remarks at a TED conference in 2014 right after the world had avoided the Ebola outbreak,1,1,0.0,0.11111110493827195,18,16.666666666666664,46.666666666666664,18,4,18,31,0,4.611111111111111
When the new unprecedented invisible virus hit us it met an overwhelmed and unprepared healthcare system and oblivious population,0,5,-0.99999980000004,0.26315788088642733,19,21.052631578947366,60.021052631578954,19,7,19,44,1,5.842105263157895
This public health emergency demonstrated our lack of scientific consideration and underlined the alarming need for robust innovations in our health and medical facilities,1,3,-0.49999987500003124,0.1666666597222225,24,25.0,78.4,24,9,24,59,2,6.166666666666667
For the past few years artificial intelligence has proven to be of tangible potential in the healthcare sectors clinical practices translational medical and biomedical research,2,0,0.99999950000025,0.07999999680000013,25,40.0,86.4,25,11,25,60,0,6.08
After the first case was detected in China on December 31st 2019 it was an AI program developed by BlueDot that alerted the world about the pandemic,0,0,0.0,0.0,27,14.814814814814813,65.12592592592593,27,7,27,44,0,4.518518518518518
It was quick to realise AIs ability to analyse large chunks of data could help in detecting patterns and identifying and tracking the possible carriers of the virus,0,1,-0.9999990000010001,0.035714284438775556,28,25.0,75.60000000000001,28,7,28,52,0,4.892857142857143
Many tracing apps use AI to keep tabs on the people who have been infected and prevent the risk of cross-infection by using AI algorithms that can track patterns and extract some features to classify or categorise them,0,2,-0.99999950000025,0.05263157756232691,38,10.526315789473683,91.41052631578947,38,6,38,67,0,4.7631578947368425
So how does AI do that,0,0,0.0,0.0,6,0.0,8.8,6,0,6,8,0,2.8333333333333335
IBM Watson a sophisticated AI that works on cloud computing and natural language processing has prominently contributed to the healthcare sector on a global level,2,1,0.33333322222225925,0.11999999520000018,25,24.0,74.4,25,8,25,52,0,5.52
Being a conversational AI since 2013 Watson has helped in recommending treatments to patients suffering from cancer to ensure that they get the best treatment at optimum costs,2,2,0.0,0.14285713775510223,28,28.57142857142857,81.42857142857143,28,8,28,53,0,5.285714285714286
Researchers at Google Inc,0,0,0.0,0.0,4,50.0,30.0,4,2,4,9,0,5.5
showed that an AI system can be trained on thousands of images to achieve physician-level sensitivity,0,0,0.0,0.0,16,25.0,50.400000000000006,16,6,16,34,0,5.375
By identifying the molecular patterns associated with disease status and its subtypes gene expression and protein abundance levels machine learning methods can detect fatal diseases like cancer at an early stage,2,2,0.0,0.12903225390218534,31,25.806451612903224,94.7225806451613,31,10,31,70,0,5.838709677419355
Machine Learning ML techniques focus mainly on analyzing structured data which can further help in clustering patients traits and infer the probability of disease outcomes,0,0,0.0,0.0,25,28.000000000000004,79.60000000000001,25,10,25,54,0,5.88
Since patient traits mainly include masses of data relating to age gender disease history disease-specific data like diagnostic imaging and gene expressions etc ML can extract features from these data inputs by constructing data analytical algorithms,2,0,0.99999950000025,0.05555555401234573,36,30.555555555555557,112.22222222222223,36,12,36,83,0,5.972222222222222
ML algorithms are either supervised or unsupervised,0,0,0.0,0.0,7,28.57142857142857,31.82857142857143,7,4,7,18,0,6.428571428571429
Unsupervised learning helps in extracting features and clustering similar features together that further leads to early detection of diseases,1,0,0.9999990000010001,0.05263157617728546,19,31.57894736842105,69.03157894736842,19,10,19,48,0,6.473684210526316
Clustering and principal component analysis enable grouping or clustering of similar traits together that are further used to maximize or minimize the similarity between the patients within or between the clusters,0,0,0.0,0.0,31,48.38709677419355,104.55483870967743,31,15,31,70,0,5.903225806451613
Since patient traits are recorded in multiple dimensions such as genes principal component analysisPCA creates the apparatus to reduce these dimensions which humans could have not done alone,1,0,0.9999990000010001,0.035714284438775556,28,35.714285714285715,90.28571428571429,28,12,28,65,0,5.821428571428571
Supervised learning considers the outcomes of the subjects together with the traits and further correlates the inputs with the outputs to predict the probability of getting a particular clinical event expected value of a disease level or expected survival time or risk of Downs syndrome,1,2,-0.33333322222225925,0.06666666518518523,45,22.22222222222222,123.28888888888889,45,15,45,91,0,5.377777777777778
Biomarker panels that are mostly used to detect ovarian cancer have outperformed the conventional statistical methods due to machine learning,1,1,0.0,0.09999999500000024,20,30.0,68.4,20,7,20,49,0,6.1
In addition to this the use of EHRs and Bayesian networks which are a part of supervised machine learning algorithms can predict clinical outcomes and mortality respectively,0,0,0.0,0.0,27,29.629629629629626,81.05185185185185,27,10,27,56,0,5.444444444444445
Unstructured data such as clinical notes and texts are converted into machine-readable structured data with the help of natural language processingNLP,0,0,0.0,0.0,21,23.809523809523807,69.52380952380952,21,8,21,48,0,6.190476190476191
NLP works with two components text processing and classification,1,0,0.9999990000010001,0.11111109876543349,9,33.33333333333333,38.93333333333334,9,3,9,17,0,6.222222222222222
Text processing helps in identifying a series of disease-relevant keywords in clinical notes and then through classification are further categorized into normal and abnormal cases,0,1,-0.9999990000010001,0.03999999840000006,25,24.0,81.2,25,8,25,59,0,6.2
Chest screening through ML and NLP has helped find abnormalities in the lungs and provide treatment to covid patients,1,0,0.9999990000010001,0.05263157617728546,19,21.052631578947366,55.22105263157895,19,5,19,33,0,5.2105263157894735
Healthcare organizations use NLP-based chatbots to increase interactions with patients keeping their mental health and wellness in check,0,0,0.0,0.0,18,33.33333333333333,67.73333333333333,18,6,18,44,0,6.611111111111111
Deep learning is a modern extension of the classical neural network techniques which helps explore more complex non-linear patterns in data using algorithms like convolution neural network recurrent neural network deep belief network and deep neural network which enables more accurate clinical prediction,3,1,0.49999987500003124,0.09302325365062201,43,37.2093023255814,136.88372093023256,43,18,43,102,0,6.116279069767442
When it comes to genome interpretation deep neural networks surpass the conventional methods of logistics regression and support vector machines,2,1,0.33333322222225925,0.14999999250000037,20,30.0,69.60000000000001,20,7,20,47,0,6.25
Sepsis Watch is an AI system trained in deep learning algorithms that holds the capability to analyze over 32 million data points to create a patients risk score and identify the early stages of sepsis,1,1,0.0,0.057142855510204135,35,22.857142857142858,89.54285714285714,35,9,35,63,0,4.771428571428571
Another method known as the Learning-based Optimization of the Under Sampling Pattern LOUPE is based on integrating full resolution MRI scans with the convolutional neural network algorithm which helps in creating more accurate reconstructions,1,0,0.9999990000010001,0.02941176384083048,34,32.35294117647059,110.14117647058825,34,12,34,79,0,6.176470588235294
Robotic surgery is widely considered in most delicate surgeries like gynaecology and prostate surgery,2,0,0.99999950000025,0.14285713265306196,14,28.57142857142857,51.82857142857142,14,6,14,34,0,6.285714285714286
Even after striking the right balance between human decisions and AI precision robotic surgery reduces surgeon efficiency as they have to be manually operated through a console,2,0,0.99999950000025,0.07407407133058995,27,33.33333333333333,83.73333333333333,27,11,27,61,0,5.555555555555555
Thus autonomous robotic surgery is on the rise with inventions such as robotic silicon fingers that mimic the sense of touch that surgeons need to identify organs cut tissues etc,1,0,0.9999990000010001,0.033333332222222255,30,23.333333333333332,80.53333333333335,30,8,30,58,0,4.966666666666667
or robotic catheters that can navigate whether it is touching blood tissue or valve,0,0,0.0,0.0,14,35.714285714285715,47.485714285714295,14,5,14,28,0,5.0
Researchers at Childrens National Hospital Washington have already developed an AI called Smart Tissue Autonomous Robot STAR which performs a colon anastomosis on its own with the help of an ML-powered suturing tool that automatically detects the patients breathing pattern to apply suture at the correct point,3,0,0.9999996666667778,0.06382978587596201,47,27.659574468085108,135.06382978723406,47,15,47,100,0,5.617021276595745
An image of STAR during surgery,0,0,0.0,0.0,6,16.666666666666664,19.066666666666666,6,1,6,10,0,4.333333333333333
Cloud computing in healthcare has helped in retrieving and sharing medical records safely with a reduction in maintenance costs,2,1,0.33333322222225925,0.15789472853185638,19,31.57894736842105,63.43157894736842,19,6,19,41,0,5.7368421052631575
Through this technology doctors and various healthcare workers have access to detailed patient data that helps in speeding up analysis ultimately leading to better care in the form of more accurate information medications and therapies,4,0,0.9999997500000625,0.11428571102040827,35,31.428571428571427,106.57142857142858,35,13,35,80,0,5.742857142857143
How can It help in Biomedical research,0,0,0.0,0.0,7,28.57142857142857,26.62857142857143,7,2,7,13,0,4.571428571428571
Since AI can analyze literature beyond readability it can be used to concise biomedical research,1,0,0.9999990000010001,0.06666666222222252,15,40.0,54.400000000000006,15,6,15,37,0,5.466666666666667
With the help of ML algorithms and NLP AI can accelerate screening and indexing of biomedical research by ranking the literature of interest which allows researchers to formulate and test scientific hypotheses far more precisely and quickly,1,0,0.9999990000010001,0.027027026296566857,37,32.432432432432435,108.97297297297298,37,13,37,74,0,5.513513513513513
Taking it to the next level AI systems like the computational modelling assistant CMA helps researchers to construct simulation models from the concepts they have in mind,1,0,0.9999990000010001,0.037037035665294975,27,18.51851851851852,75.40740740740742,27,5,27,51,0,5.333333333333333
Such innovations have majorly contributed to topics such as tumour suppressor mechanisms and protein-protein interaction information extraction,0,0,0.0,0.0,17,47.05882352941176,76.02352941176471,17,9,17,49,0,7.470588235294118
AI as precision medicine Since precision medicine focuses on healthcare interventions to individuals or groups of patients based on their profile the various AI devices pave the way to practice it more efficiently,1,0,0.9999990000010001,0.030303029384756687,33,36.36363636363637,99.74545454545455,33,14,33,80,0,5.484848484848484
With the help of ML complex algorithms like large datasets can be used to predict and create an optimal treatment strategy,2,1,0.33333322222225925,0.14285713605442207,21,23.809523809523807,58.32380952380952,21,5,21,36,0,4.857142857142857
Deep learning and neural networks can be used to process data in healthcare apps and keep a close watch on the patients emotional state food intake or health monitoring,0,0,0.0,0.0,29,24.137931034482758,76.85517241379311,29,7,29,57,0,4.827586206896552
Omics refers to the collective technologies that help in exploring the roles relationships of various branches ending with the suffix omics such as genomics proteomics etc,0,0,0.0,0.0,26,23.076923076923077,77.63076923076923,26,7,26,54,0,5.615384615384615
Omics-based tests based on machine learning algorithms help find correlations and predict treatment responses ultimately creating personalized treatments for individual patients,1,0,0.9999990000010001,0.04761904535147403,21,47.61904761904761,89.84761904761905,21,13,21,57,0,7.476190476190476
How it helps in psychology and neuro patients For psychologists studying creativity AI is promising new classes of experiments that are developing data structures and programs and exploring novel theories on a new horizon,1,0,0.9999990000010001,0.02941176384083048,34,26.47058823529412,98.98823529411766,34,11,34,68,0,5.529411764705882
Studies show that AI can conduct therapy sessions e-therapy sessions and assessments autonomously also assisting human practitioners before during or after sessions,0,0,0.0,0.0,22,40.909090909090914,81.96363636363637,22,10,22,54,0,6.5
The Detection and Computational Analysis of Psychological Signal project uses ML computer vision and NLP to analyze language physical gestures and social signals to identify cues for human distress,0,1,-0.9999990000010001,0.034482757431629055,29,34.48275862068966,92.59310344827587,29,11,29,63,0,5.827586206896552
This ground-breaking technology assesses soldiers returning from combat and recognizes those who require further mental health support,1,0,0.9999990000010001,0.05882352595155729,17,29.411764705882355,65.36470588235294,17,7,17,41,0,6.9411764705882355
In the future it will combine data captured during face-to-face interviews with information on sleeping eating and online behaviours for a complete patient view,1,0,0.9999990000010001,0.041666664930555625,24,45.83333333333333,82.33333333333333,24,12,24,58,0,5.708333333333333
Stroke identification Stroke is another frequently occurring disease that affects more than 500 million people worldwide,0,0,0.0,0.0,16,50.0,68.0,16,8,16,40,0,6.5625
Thrombus in the vessel cerebral infarction is the major about 85% cause of stroke occurrence,0,0,0.0,0.0,16,31.25,49.300000000000004,16,5,16,30,0,4.875
In recent years AI techniques have been used in numerous stroke-related studies as early detection and timely treatment along with efficient outcome prediction can help solve the problem,2,1,0.33333322222225925,0.10714285331632667,28,21.428571428571427,82.97142857142858,28,9,28,65,0,5.678571428571429
